Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
63,MC,air,291,8,150,50,195,124,6.5,96,0.4,0.3,188.5,0.1,283,0.972508591,494.0374,185.8731025,19.95299105,0.10795,19.28324644,1,0.523809524,0.601592683,0.636623031,40.72988161
64,MC,vac,275,8,200,80,175,65,47.2,96,0.7,0.6,127.8,0.1,267,0.970909091,420.6701,290.860805,13.21805906,0.04565,212.9891831,2,0.428571429,0.474371749,0.736841094,40.15203351
65,MC,arg,221,8,90,70,200,189,4.6,114,0.4,0.2,195.4,0.2,206,0.932126697,445.1259,129.5040005,21.54254123,0.1695,7.838565645,1,0.650793651,0.676060015,0.522373166,39.57361385
66,MC,air,262,8,90,30,185,40,108,114,0.7,0.3,77,0.4,256,0.977099237,496.7122,344.4936827,7.921622829,0.02335,484.7761996,1,0.031746032,0.474319583,1.055417702,28.62637918
67,MC,arg,183,8,100,70,220,176,5.7,132,0.4,0.2,214.3,0.2,169,0.923497268,669.0488,152.5838813,24.2602918,0.15975,10.90634767,1,0.523809524,0.748714272,0.288072569,33.89473805
68,MC,arg,217,8,120,40,210,156,5.5,96,0.3,0.1,204.5,0.2,209,0.963133641,617.8446,161.5894077,22.56537757,0.14055,12.81076331,1,0.444444444,0.621364917,0.651640005,40.92320071
69,MC,vac,284,8,225,120,200,50,79.5,96,0.4,0.3,120.5,0.1,259,0.911971831,554.4125,396.3038551,12.73898159,0.03225,408.2904163,1,0.238095238,0.634835172,0.568340944,39.22906901
70,MC,vac,272,8,83,83,205,78,23.1,114,0.4,0.1,181.9,0.3,262,0.963235294,569.3152,318.6545637,19.29386938,0.06075,108.8192868,1,0.349206349,0.606746731,0.623562455,41.29044134
71,MC,arg,242,8,150,75,225,350,5.3,114,0.4,0.1,219.7,0.3,239,0.987603306,685.4801,136.652372,24.65848833,0.20925,9.790172238,1,0.253968254,0.443599723,0.714157468,37.62623736
72,MC,air,319,8,225,75,225,168,6.5,132,0.4,0.1,218.5,0.3,304,0.952978056,623.5764,159.8659216,23.95540838,0.1504,15.15817484,1,0.26984127,0.503610931,0.700722339,41.56370025
73,MC,air,257,8,80,80,215,195,6.3,96,0.6,0.1,208.7,0.5,249,0.968871595,648.4143,135.2034109,23.43025045,0.177,9.057799137,1,0.126984127,0.612649964,0.655222651,39.77781842
74,MC,air,235,8,195,110,225,95,15.6,96,0.3,0.1,209.4,0.2,226,0.961702128,576.5755,295.3654347,22.40275093,0.07605,60.96448116,2,0.53968254,0.744923695,0.543656473,39.89677561
75,MC,vac,266,8,255,135,240,123,6.9,114,0.3,0.1,233.1,0.2,254,0.954887218,703.4397,242.9993188,24.97968939,0.103,23.51087934,1,0.525252525,0.672488605,0.621989472,35.78735247
76,MC,arg,261,8,100,50,220,70,31.2,114,0.3,0.1,188.8,0.2,245,0.938697318,651.0892,399.2985778,19.94356668,0.05025,187.4810467,1,0.464646465,0.522099636,0.803454065,34.12275186
77,MC,vac,309,8,130,100,235,192,6.3,132,0.3,0.1,228.7,0.2,286,0.925566343,636.1864,148.7744338,25.42503471,0.17305,9.365291895,1,0.535353535,0.830536104,0.335249794,33.88495461
78,MC,vac,286,8,300,120,210,350,37,114,0.6,0.3,173,0.3,253,0.884615385,584.218,58.87955033,18.12262276,0.32965,19.03647373,4,0.666666667,0.652887145,0.454517881,38.70232693
79,MC,arg,312.9,8,120,120,220,500,34,132,0.4,0.3,186,0.1,303.5,0.969958453,523.4607,59.03366478,21.81539195,0.41635,11.31479781,4,0.555555556,0.580871179,0.543535679,31.98626737
80,MC,vac,205.7,8,400,120,185,400,23.5,96,0.4,0.1,161.5,0.3,175.7,0.854156539,370.2301,51.89086227,17.17807595,0.34295,9.026465209,5,0.316666667,0.558461914,0.546717503,42.29369076
81,PA,argon,355.4,8,240,120,215,100,103.6,132,7.5,0.8,111.4,6.7,334.3,0.940630276,249.4799,150.105285,12.66818251,0.08495,82.85264255,2,0.313131313,0.551694047,0.455836322,40.62844895
82,PA,vac,305.6,8,240,80,200,480,15.08,78,7,0.6,184.92,6.4,1,1,202.0968,48.35664535,19.71456725,0.41705,12.56238569,5,0.484848485,0.587509086,0.469279915,41.75351609
83,PA,vac,346.6,8,400,120,180,700,4.5,118,7.1,1.2,175.5,5.9,177.5,51.21177149,210.1214,60.30044288,17.62235139,0.31305,8.296537683,1,0.232323232,0.556256789,0.607161047,44.59925578
84,PA,vac,214.7,8,210,80,200,420,3.2,96,3.4,0.3,196.8,3.1,159.3,74.19655333,345.7744,67.32597957,20.83693693,0.3266,11.74976616,1,0.565656566,0.624927726,0.453668267,38.40751074
85,PA,argon,378.7,8,120,60,160,540,2.7,150,6.8,1.2,157.3,5.6,260,68.65592818,154.7138,64.19291106,20.84613693,0.3345,7.543911164,3,0.484848485,0.614029497,0.516692112,40.05643999
86,PA,air,311.5,8,120,40,210,360,47.2,118,6.2,0.8,162.8,5.4,278.8,89.5024077,173.4378,51.38356552,17.50329038,0.3437,26.28225312,3,0.303030303,0.594604227,0.478030825,36.23648772
87,PA,vac,342,8,205,105,200,75,120.2,132,9.6,1.5,79.8,8.1,266,77.77777778,280.0495,161.8966995,9.551260712,0.0594,68.68084159,1,0.303030303,0.54913134,0.570582979,47.848196
88,PA,vac,230,8,0,0,120,50,108,78,6.4,1.8,12,4.6,187,81.30434783,70.26505,38.24756655,1.165984251,0.0316,67.12026342,1,0,0,0,0
